"","OrganismCode","Taxname","Lifestage","Level","Phylum","Class","Order","Family","Genus","Species"
"1",4050,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"2",4040,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"3",4005,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"4",4010,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"5",4020,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"6",4030,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"7",4090,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"8",4070,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"9",4270,"Ostracoda","Adult","Class","Arthropoda","Ostracoda",NA,NA,NA,NA
"10",6480,"Arachnida","Adult","Class","Arthropoda","Arachnida",NA,NA,NA,NA
"11",6501,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"12",6500,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"13",6502,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"14",6590,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"15",6525,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"16",6526,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"17",6528,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"18",6570,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"19",6560,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"20",6530,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"21",6565,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"22",6498,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"23",6610,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"24",6660,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"25",6620,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"26",6490,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"27",6630,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"28",6491,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"29",6495,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"30",6496,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"31",6497,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"32",6640,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"33",6505,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"34",6520,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"35",6515,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"36",6510,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"37",6650,"Gastropoda","Adult","Class","Mollusca","Gastropoda",NA,NA,NA,NA
"38",2970,"Hirudinea","Undifferentiated","Class","Annelida","Hirudinea",NA,NA,NA,NA
"39",2980,"Hirudinea","Undifferentiated","Class","Annelida","Hirudinea",NA,NA,NA,NA
"40",2910,"Hirudinea","Undifferentiated","Class","Annelida","Hirudinea",NA,NA,NA,NA
"41",2930,"Hirudinea","Undifferentiated","Class","Annelida","Hirudinea",NA,NA,NA,NA
"42",2950,"Hirudinea","Undifferentiated","Class","Annelida","Hirudinea",NA,NA,NA,NA
"43",2890,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
