"","ICF_ID","Date","Start_Time","Station_Code","Habitat","Region","Latitude","Longitude","Start_Depth","Temperature","Conductivity","Turbidity","pH","Salinity","DO","Chl_a","Secchi","X2","NO3","NH4","PO4","DOC","End_Depth","End_Time","Microcystis_2017","Microcystis","Warp_Length","Warp_Angle","Tow_Time","Macrozooplankton_Volume","Mesozooplankton_Volume","Alienacanthomysis_macropsis","Americorophium_spinicorne","Americorophium_spp","Americorophium_stimpsoni","Ampelisca_abdita","Amphipod_UNID","Ampithoe_spp","Ampithoe_valida","Corophiidae_UNID","Crangonyx_spp","Cumacean_UNID","Deltamysis_holmquistae","Eogammarus_spp","Exopalaemon_spp","Gammarus_daiberi","Grandidierella_japonica","Hyalella_spp","Hyperacanthomysis_longirostris","Isopoda_UNID","Monocorophium_acherusicum","Mysid_UNID","Neomysis_kadiakensis","Neomysis_mercedes","Oedicerotidae_UNID","Orientomysis_aspera","Orientomysis_hwanhaiensis","Pleustidae_UNID","Shrimp_UNID_larvae","Sinocorophium_alienense","Tanaidacea_UNID"
"1","ICF5",2017-09-05,NA,"18-06-HB01","Channel Surface","Suisun Marsh",38.16375,-122.04365,NA,23.106,2519,9.65,7.74,1.29,7.85,1.84,75,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ICF1",2017-09-05,NA,"18-06-SM01","Channel Surface","Suisun Marsh",38.16465,-122.0450667,19.7,23.5,8262,20.95,7.59,4.59,7.14,3.57,38,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ICF3",2017-09-05,NA,"18-06-SM01","Shoal","Suisun Marsh",38.16375,-122.04365,NA,23.5,8254,24.77,7.64,4.59,7.17,3.25,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ICF159",2017-09-06,NA,"18-06-SRU01","Channel Surface","Upper Sacramento River",38.517089,-121.53814,22.7,21,128.4,9.83,7.46,NA,95.9,1.31,1.03,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ICF160",2017-09-06,NA,"18-06-SRU02","Channel Surface","Upper Sacramento River",38.193272,-121.625693,9.1,21.8,138.3,6.82,7.28,0.06,8.04,1.15,11.8,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ICF162",2017-09-07,NA,"18-06-CS02","Channel Surface","Cache Slough and Liberty Island",38.314105,-121.692699,17.2,23.9,220.2,4.23,7.64,0.1,5.91,3.83,68,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ICF6",2017-09-07,NA,"18-06-SBM01","Channel Surface","Suisun Bay",38.062428,-122.005496,22.5,22.5,7387,18.53,7.64,4.1,8.07,1.73,51,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ICF7",2017-09-07,NA,"18-06-SBM02","Shoal","Suisun Marsh",38.099639,-122.067807,6.5,22.7,10061,52.69,7.72,5.68,7.69,2.73,27,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ICF163",2017-09-08,NA,"18-06-LSR01","Channel Surface","Suisun Bay",38.056606,-121.874158,49.1,22.47,2655,12.75,7.82,1.37,7.82,2.19,55,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ICF164",2017-09-08,NA,"18-06-LSR01","Shoal","Suisun Bay",38.051368,-121.868491,5.2,22.48,2423,14.23,7.82,1.23,7.88,1.98,23,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ICF165",2017-09-08,NA,"18-06-rv01","Channel Surface","Lower Sacramento",38.11113,-121.69211,23.7,22.9,153.8,1.6,7.82,0.07,7.87,2.04,123,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ICF166",2017-09-18,10:17:00,"18-08-LSR01","Channel Surface","Suisun Bay",38.0679,-121.84983,35,20.9,759.9,8.8,7.74,0.09,8.3,2.5,65,NA,0.245,0.075,0.063,2.469,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ICF167",2017-09-18,11:37:00,"18-08-LSR01","Shoal","Suisun Bay",38.06714,-121.86187,6,20.9,760.7,12.82,7.86,0.1,8.33,2.46,39,NA,0.261,0.065,0.047,2.152,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ICF168",2017-09-18,12:09:00,"18-08-LSR02","Channel Surface","Suisun Bay",38.078703,-121.92832,25.6,21.4,972,7.67,7.89,0.23,8.15,2.71,66,NA,0.241,0.042,0.062,2.338,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ICF169",2017-09-18,13:31:00,"18-08-LSR02","Shoal","Suisun Bay",38.05384,-121.86936,21.4,21.4,606,11.17,7.92,0.29,8.15,2.63,57,NA,0.252,0.038,0.058,2.271,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ICF170",2017-09-19,14:03:00,"18-08-SSC01","Channel Surface","Sacramento Deep Water Ship Channel",38.53344,-121.58447,33.2,23.2,770,5.18,8.51,0.38,7.4,2.64,70,NA,0.006,0.001,0.132,3.28,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ICF171",2017-09-19,14:28:00,"18-08-SSC02","Channel Surface","Sacramento Deep Water Ship Channel",38.49083,-121.58495,35.2,22.7,746,10.02,8.46,0.36,7.55,3.36,52,NA,0.05,0.005,0.144,3.606,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ICF10",2017-09-20,NA,"18-08-SBM01","Shoal","Suisun Bay",38.092777,-122.040415,5.6,19.7,8829,31.94,7.67,4.95,8.64,2.49,38,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
