genus,species,SDWSC
Acanthocyclops,robustus,Acanthocyclops robustus
Acanthocyclops,vernalis,Acanthocyclops vernalis
Acartiella,sinensis,Acartiella sinensis
Alona,affinis,Alona affinis
Alona,costata,Alona costata
Alona,guttata,Alona guttata
Alona,intermedia,Alona intermedia
Alona,NA,Alona NA
Alona,quadrangularis,Alona quadrangularis
Alona,rectangula,Alona rectangula
Alonella,acutirostris,Alonella acutirostris
Alonella,excisa,Alonella excisa
Anuraeopsis,fissa,Anuraeopsis fissa
Anuraeopsis,NA,Anuraeopsis NA
Arctodiaptomus,dorsalis,Arctodiaptomus dorsalis
Ascomorpha,NA,Ascomorpha NA
Asplanchna,NA,Asplanchna NA
Asplanchna,priodonta,Asplanchna priodonta
Asplanchnopus,NA,Asplanchnopus NA
bdelloid,NA,bdelloid NA
Bivalvia,veliger,Bivalvia veliger
Bosmina,longirostris,Bosmina longirostris
Brachionus,angularis,Brachionus angularis
Brachionus,bidentata,Brachionus bidentata
Brachionus,calyciflorus,Brachionus calyciflorus
Brachionus,caudatus,Brachionus caudatus
Brachionus,havanaensis,Brachionus havanaensis
Brachionus,NA,Brachionus NA
Brachionus,patulus,Brachionus patulus
Brachionus,plicatilis,Brachionus plicatilis
Brachionus,quadridentatus,Brachionus quadridentatus
Brachionus,quadridentatus f. brevispinus,Brachionus quadridentatus f. brevispinus
Brachionus,rubens,Brachionus rubens
Brachionus,urceolaris,Brachionus urceolaris
Brachionus,variabilis,Brachionus variabilis
calanoid,copepodid,calanoid copepodid
Camptocercus,NA,Camptocercus NA
Camptocercus,rectirostris,Camptocercus rectirostris
Ceriodaphnia,lacustris,Ceriodaphnia lacustris
Ceriodaphnia,NA,Ceriodaphnia NA
Chydorus,globosus,Chydorus globosus
Chydorus,NA,Chydorus NA
Chydorus,sphaericus,Chydorus sphaericus
Collotheca,NA,Collotheca NA
Conochiloides,coenobasis,Conochiloides coenobasis
Conochiloides,dossuarius,Conochiloides dossuarius
Conochiloides,NA,Conochiloides NA
Conochilus,NA,Conochilus NA
Conochilus,unicornis,Conochilus unicornis
Corbicula,fluminea veliger,Corbicula fluminea veliger
Coullana,canadensis,Coullana canadensis
Craspedacusta,sowerbyi,Craspedacusta sowerbyi
cyclopoid,copepodid,cyclopoid copepodid
Cyclopoida,(male),Cyclopoida (male)
Cyclopoida,NA,Cyclopoida NA
Daphnia,ambigua,Daphnia ambigua
Daphnia,exilis,Daphnia exilis
Daphnia,galeata,Daphnia galeata
Daphnia,galeata mendotae,Daphnia galeata mendotae
Daphnia,galeata mendotae-mendotae,Daphnia galeata mendotae-mendotae
Daphnia,galeata-mendotae,Daphnia galeata-mendotae
Daphnia,NA,Daphnia NA
Daphnia,obtusa,Daphnia obtusa
Daphnia,parvula,Daphnia parvula
Daphnia,pulex,Daphnia pulex
Daphnia,pulex complex,Daphnia pulex complex
Daphnia,pulicaria,Daphnia pulicaria
Daphnia,retrocurva,Daphnia retrocurva
Decapod,zoea,Decapod zoea
Diacyclops,thomasi,Diacyclops thomasi
Diaphanosoma,birgei,Diaphanosoma birgei
Diaphanosoma,brachyurum,Diaphanosoma brachyurum
Diaphanosoma,NA,Diaphanosoma NA
Disparalona,hamata,Disparalona hamata
Ephemeroporus,barroisi,Ephemeroporus barroisi
Eubosmina,coregoni,Eubosmina coregoni
Eubosmina,hagmanni,Eubosmina hagmanni
Eubosmina,longispina,Eubosmina longispina
Euchlanis,alata,Euchlanis alata
Euchlanis,meneta,Euchlanis meneta
Euchlanis,NA,Euchlanis NA
Eucyclops,elegans,Eucyclops elegans
Eucyclops,NA,Eucyclops NA
Eucyclops,pectinifer,Eucyclops pectinifer
Eucyclops,prionophorus,Eucyclops prionophorus
Eurycercus,NA,Eurycercus NA
