"","x"
"1","Aeshnidae larvae"
"2","Alienacanthomysis macropsis"
"3","American Shad"
"4","Americorophium spinicorne"
"5","Americorophium stimpsoni"
"6","Amphipod UNID"
"7","Ampithoe"
"8","Animal material UNID"
"9","Ant"
"10","Anthuridae"
"11","Aphididae"
"12","Aphididae Adult"
"13","Aphididae Larvae"
"14","Arrow Goby"
"15","Arrow worm"
"16","Asellidae"
"17","Asellus"
"18","Baetidae"
"19","Barnacle Nauplii"
"20","Belostomatidae"
"21","Bigscale Logperch"
"22","Black Bass (unknown species)"
"23","Black Crappie"
"24","Bluegill"
"25","Brachycera Larvae"
"26","Brachycera Pupae"
"27","Bryozoa unid"
"28","Caecidotea"
"29","Caenidae"
"30","Calanoid UNID"
"31","Cantharidae adult"
"32","Carabidae adult"
"33","Carabidae Larvae"
"34","Centrarchidae larvae unknown"
"35","Ceratopogonidae larvae"
"36","Chaoboridgae larvae"
"37","Chironomid Larvae"
"38","Chrysomelidae Adult"
"39","Cladocera UNID"
"40","Clam Juvenile"
"41","Clam UNID"
"42","Clupeidae larvae"
"43","Cnidaria Other"
"44","Coccidae Adult"
"45","Coccinellidae Adult"
"46","Coccinellidae Larvae"
"47","Coenagrionidae larvae"
"48","Coleoptera Larvae"
"49","Coleoptera other"
"50","Coleoptera Other adult"
"51","Collembola"
"52","Common Carp"
"53","Copepod Other juvenile"
"54","Corbicula"
"55","Corixidae"
"56","Corophiid Juvenile"
"57","Corophiid UNID"
"58","Corophium alienense"
"59","Crab zoea"
"60","Crangon"
"61","Crangonyx"
"62","Crayfish"
"63","Culicidae Larvae"
"64","Cumaceans"
"65","Curculionidae"
"66","Curculionidae adult"
"67","Curculionidae Larvae"
"68","Cyclopoid"
"69","Cyclopoid Other"
"70","Cyprinid spp."
"71","Decapod larvae unid"
"72","Delphacidae"
"73","Delta Smelt"
"74","Deltamysis homquistae"
"75","Diptera adult"
"76","Diptera Adult"
"77","Diptera Larvae UNID"
"78","Diptera Pupae"
"79","Dolichopodidae larvae"
"80","Dytiscidae adult"
"81","Dytiscidae larvae"
"82","Earwig"
"83","Egg Sacs"
"84","Eggs UNID"
"85","Elmidae adult"
"86","Elmidae larvae"
"87","Eogammarus"
"88","Ephemeroptera Adult"
"89","Ephemeroptera larvae UNID"
"90","Ephydridae Larvae"
"91","Exopalaemon"
"92","Fathead Minnow"
"93","Fish Eggs"
"94","Fish larvae"
"95","Fish UNID"
"96","Fluminicola"
"97","Fossaria"
"98","Gammarid juvenile"
"99","Gammaroidea"
"100","Gammarus"
"101","Gerridae"
"102","Gnorimosphaeroma"
"103","Goby unid"
"104","Golden Shiner"
"105","Gomphidae larvae"
"106","Grandidierella"
"107","Green Sunfish"
"108","Gyraulus"
"109","Gyrinidae larvae"
"110","Haliplidae adult"
"111","Haliplidae Larvae"
"112","Harpacticoids"
"113","Hebridae"
"114","Hediste limnicola"
"115","Hemiptera Other"
"116","Heptageniidae nymph"
"117","Heteroceridae adult"
"118","Hitch"
"119","Homoptera"
"120","Hyalella"
"121","Hydra"
"122","Hydraenidae adult"
"123","Hydrobiidae"
"124","Hydrometridae"
"125","Hydrophilidae Adult Beetle"
"126","Hydrophilidae Larvae Beetle"
"127","Hydroptilidae Adult Caddisfly"
"128","Hydroptilidae Larvae Caddisfly"
"129","Hydroptilidae Pupae Caddisfly"
"130","Hydroscaphidae Adult"
"131","Hymenoptera Other"
"132","Hyperacanthomysis longirostris"
"133","Incisocalliope derzhavini"
"134","Insect larvae UNID"
"135","Insect UNID"
"136","Invertebrate UNID"
"137","Isopod juvenile"
"138","Isopod UNID"
"139","Isoptera"
"140","Jacksmelt"
"141","Jellyfish UNID"
"142","Leafhopper"
"143","Leafhopper adult"
"144","Leafhopper juvenile"
"145","Leech"
"146","Lepidoptera Larvae"
"147","Leptohyphidae mayfly larvae"
"148","Libellulidae"
"149","Ligidium"
"150","Limpet"
"151","Longfin Smelt"
"152","Longfin Smelt (Yolk-Sac)"
"153","Lumbricidae"
"154","Lymnaea"
"155","Lysianassidae"
"156","Maeotias"
"157","Magnificent Bryozoan"
"158","Melanoides tuberculata"
"159","Melita"
"160","Mesoveliidae"
"161","Millipede"
"162","Mississippi Silverside"
"163","Mite"
"164","Moerisia spp"
"165","Mosquitofish"
"166","Munnidae"
"167","Muscidae"
"168","Mysid juvenile"
"169","Mysid Other"
"170","Nematocera pupae"
"171","Nematode"
"172","Nemertea"
"173","Neomysis kadiakensis"
"174","Neomysis mercedis"
"175","Nepidae"
"176","No Catch"
"177","Northern Anchovy"
"178","Noteridae adult"
"179","Notonectidae"
"180","Nudibranch"
"181","Odonata larvae Other"
"182","Odonata Other"
"183","Oligocheate"
"184","Orthoptera"
"185","Osmeridae spp."
"186","Ostracods"
"187","Pacific Herring"
"188","Pacific Staghorn Sculpin"
"189","Palaemon"
"190","Palaemonetes"
"191","Physa"
"192","Pisidium"
"193","Planaria"
"194","Planorbella"
"195","Planorbidae UNID"
"196","Polychaete"
"197","Potamocorbula"
"198","Prickly Sculpin"
"199","Prostoma"
"200","Psocoptera Adult"
"201","Psocoptera Larvae"
"202","Psychodidae larvae"
"203","Psyllidae"
"204","Psyllidae Larvae"
"205","Rainwater Killifish"
"206","Redear"
"207","River Lamprey"
"208","Sacramento Sucker"
"209","Sciomyzidae Larvae"
"210","Scirtidae adult"
"211","Scolytinae Adult"
"212","Shimofuri Goby"
"213","Shrimp juvenile"
"214","Shrimp Other"
"215","Silverside unid larvae"
"216","Simuliidae"
"217","Simuliidae larvae"
"218","Sisyridae Larvae"
"219","Slug"
"220","Snail UNID"
"221","Spider"
"222","Splittail"
"223","Staphylinidae adult"
"224","Stratiomyidae"
"225","Striped Bass"
"226","Stylaria"
"227","Sunfish (unknown species)"
"228","Synidotea"
"229","Tabanidae"
"230","Tadpole"
"231","Talitridae"
"232","Tanaid"
"233","Threadfin Shad"
"234","Threespine Stickleback"
"235","Thrips"
"236","Tipulidae larvae"
"237","Topsmelt"
"238","Trichoptera Adult"
"239","Trichoptera larvae Other"
"240","Tridentiger Spp."
"241","Vellidae"
"242","Worm UNID"
"243","Yellowfin Goby"
"244","Zygoptera Adult"
