"","Genus","Species","LifeStage","taxon"
"1","Alona",NA,"Adult","Alona NA Adult"
"2","Bosmina",NA,"Adult","Bosmina NA Adult"
"3","Ceriodaphnia",NA,"Adult","Ceriodaphnia NA Adult"
"4","Chydorus",NA,"Adult","Chydorus NA Adult"
"5","Daphnia",NA,"Adult","Daphnia NA Adult"
"6","Disparalona",NA,"Adult","Disparalona NA Adult"
"7","Eurycercus",NA,"Adult","Eurycercus NA Adult"
"8","Kurzia",NA,"Adult","Kurzia NA Adult"
"9","Leydigia",NA,"Adult","Leydigia NA Adult"
"10","Simocephalus",NA,"Adult","Simocephalus NA Adult"
"11","Acanthocyclops","vernalis","Adult","Acanthocyclops vernalis Adult"
"12","Calanoid",NA,"Copepodid","Calanoid NA Copepodid"
"13","Cyclopoid",NA,"Copepodid","Cyclopoid NA Copepodid"
"14","Diacyclops","thomasi","Adult","Diacyclops thomasi Adult"
"15","Harpacticoida",NA,"Adult","Harpacticoida NA Adult"
"16","Leptodiaptomus","siciloides","Adult","Leptodiaptomus siciloides Adult"
"17","Paracyclops","chiltoni","Adult","Paracyclops chiltoni Adult"
"18","Pseudodiaptomus","forbesi","Adult","Pseudodiaptomus forbesi Adult"
"19","Copepod",NA,"Nauplii","Copepod NA Nauplii"
"20","Ostracoda",NA,"Adult","Ostracoda NA Adult"
"21","Bdelloid",NA,"Adult","Bdelloid NA Adult"
"22","Brachionus",NA,"Adult","Brachionus NA Adult"
"23","Cephalodella",NA,"Adult","Cephalodella NA Adult"
"24","Colurella",NA,"Adult","Colurella NA Adult"
"25","Conochilus",NA,"Adult","Conochilus NA Adult"
"26","Filinia",NA,"Adult","Filinia NA Adult"
"27","Keratella",NA,"Adult","Keratella NA Adult"
"28","Lecane",NA,"Adult","Lecane NA Adult"
"29","Lepadella",NA,"Adult","Lepadella NA Adult"
"30","Lophocharis",NA,"Adult","Lophocharis NA Adult"
"31","Monostyla",NA,"Adult","Monostyla NA Adult"
"32","Plationus",NA,"Adult","Plationus NA Adult"
"33","Polyarthra",NA,"Adult","Polyarthra NA Adult"
"34","Synchaeta",NA,"Adult","Synchaeta NA Adult"
"35","Testudinella",NA,"Adult","Testudinella NA Adult"
"36","Trichocerca",NA,"Adult","Trichocerca NA Adult"
"37","Trichotria",NA,"Adult","Trichotria NA Adult"
"38","Clitellata",NA,NA,"Clitellata NA NA"
"39","Chironomidae",NA,NA,"Chironomidae NA NA"
"40","Nematoda",NA,NA,"Nematoda NA NA"
"41","Tardigrada",NA,NA,"Tardigrada NA NA"
"42","Euchlanis",NA,"Adult","Euchlanis NA Adult"
"43","Platyias",NA,"Adult","Platyias NA Adult"
"44","Eucyclops",NA,"Adult","Eucyclops NA Adult"
"45","Microcyclops",NA,"Adult","Microcyclops NA Adult"
"46","Coleoptera",NA,NA,"Coleoptera NA NA"
"47","Eucyclops","pectinifer","Adult","Eucyclops pectinifer Adult"
"48","Kellicottia",NA,"Adult","Kellicottia NA Adult"
"49","Corixidae",NA,NA,"Corixidae NA NA"
"50","Camptocercus",NA,"Adult","Camptocercus NA Adult"
"51","Pseudochydorus",NA,"Adult","Pseudochydorus NA Adult"
"52","Osphranticum","labronectum","Adult","Osphranticum labronectum Adult"
"53","Ilyocryptus",NA,"Adult","Ilyocryptus NA Adult"
"54","Notholca",NA,"Adult","Notholca NA Adult"
"55","Crangonyx",NA,NA,"Crangonyx NA NA"
"56","Hyalella",NA,NA,"Hyalella NA NA"
"57","Macrothrix",NA,"Adult","Macrothrix NA Adult"
"58","Paracyclops","poppei","Adult","Paracyclops poppei Adult"
"59","Sinocalanus","doerri","Adult","Sinocalanus doerri Adult"
"60","Collembola",NA,NA,"Collembola NA NA"
"61","Hydra",NA,NA,"Hydra NA NA"
"62","Hydrachnidia",NA,NA,"Hydrachnidia NA NA"
