Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimate,Volume,ACARTELA,ACARTIA,DIAPTOM,EURYTEM,OTHCALAD,PDIAPFOR,PDIAPMAR,SINOCAL,TORTANUS,ALLCALADULTS,ACANTHO,LIMNOSPP,LIMNOSINE,LIMNOTET,OITHDAV,OITHSIM,OITHSPP,OTHCYCAD,ALLCYCADULTS,HARPACT,EURYJUV,OTHCALJUV,PDIAPJUV,SINOCALJUV,ASINEJUV,ACARJUV,DIAPTJUV,TORTJUV,ALLCALJUV,LIMNOJUV,OITHJUV,OTHCYCJUV,ALLCYCJUV,EURYNAUP,OTHCOPNAUP,PDIAPNAUP,SINONAUP,ALLCOPNAUP,BOSMINA,DAPHNIA,DIAPHAN,OTHCLADO,ALLCLADOCERA,ASPLANCH,KERATELA,OTHROT,POLYARTH,SYNCH,TRICHO,ALLROTIFERS,BARNNAUP,CRABZOEA,OSTRACOD,CUMAC
STN,2005,1,6,6/13/2005,809,7:09,10,Lower San Joaquin,4,13.7,141,0.06,NA,NA,20.1,NA,110,NA,NA,14455,N,4.4,0,0,0,0,0,1079.9,0,68.3,0,1148.2,0,0,0,0,0,0,0,0,0,0,4.6,0,829.3,9.1,0,0,0,0,842.9,0,0,31.9,31.9,0,0,59.2,0,59.2,31.9,4.6,0,9.1,45.6,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/13/2005,902,8:02,10,Old River,4,7.6,154,0.06,NA,NA,21.3,NA,112,NA,NA,15727,N,4.8,0,0,4.2,12.6,0,385.3,0,25.1,0,427.2,0,0,0,0,0,0,0,4.2,4.2,0,12.6,0,720.3,8.4,0,0,0,0,741.2,0,0,25.1,25.1,0,4.2,96.3,0,100.5,37.7,8.4,0,50.3,96.3,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/13/2005,906,12:18,10,San Joaquin River,2,13.1,146,0.06,NA,NA,20.9,NA,73,NA,NA,13361,N,4.1,0,0,0,39.4,0,704.9,0,0,0,744.3,34.5,0,0,0,0,0,0,4.9,39.4,0,44.4,0,2449.9,0,0,0,0,0,2494.3,0,0,483.1,483.1,0,44.4,4219.6,0,4264,566.9,221.8,14.8,133.1,936.6,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/13/2005,910,13:03,10,South Delta,2,11.3,179,0.08,NA,NA,20.8,NA,46,NA,NA,15601,N,4.7,0,0,12.7,8.4,0,8.4,0,0,0,29.6,42.2,0,0,0,0,0,0,8.4,50.7,0,46.4,0,46.4,0,0,0,0,0,92.9,0,0,468.6,468.6,4.2,8.4,135.1,0,147.8,3305.6,139.3,202.6,274.4,3921.9,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/13/2005,912,14:33,10,South Delta,2,10.7,193,0.08,NA,NA,20.1,NA,56,NA,NA,15117,N,4.6,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,4.4,13.1,0,0,0,8.7,0,0,0,0,0,8.7,0,0,213.5,213.5,0,8.7,34.9,0,43.6,936.7,69.7,8.7,409.5,1424.7,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/13/2005,914,11:26,10,South Delta,2,10.7,169,0.07,NA,NA,21.2,NA,71,NA,NA,15695,N,4.8,0,0,0,120.6,0,435.4,0,5.2,0,561.3,26.2,0,0,0,0,0,0,15.7,42,0,744.9,47.2,4993.7,10.5,0,0,0,0,5796.2,0,0,839.3,839.3,5.2,31.5,3813.5,0,3850.2,2113.9,1017.6,419.6,1893.6,5444.8,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/13/2005,915,9:06,10,South Delta,4,5.5,172,0.07,NA,NA,22,NA,135,NA,NA,13047,N,4,0,0,0,0,0,656.2,0,20.2,0,676.4,0,0,0,0,0,0,0,10.1,10.1,5,15.1,0,802.6,0,0,0,0,0,817.8,0,0,10.1,10.1,0,0,35.3,0,35.3,15.1,15.1,0,30.3,60.6,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/13/2005,918,10:15,10,South Delta,4,7.3,212,0.09,NA,NA,22.1,NA,52,NA,NA,15017,N,4.6,0,0,0,23,0,796,0,16.4,0,835.5,9.9,0,0,0,0,0,0,6.6,16.4,0,72.4,0,1819,0,0,0,0,0,1891.4,0,0,62.5,62.5,0,9.9,358.5,3.3,371.7,62.5,72.4,16.4,85.5,236.8,3.3,0,0,0,0,0,3.3,0,0,0,0
STN,2005,1,6,6/14/2005,706,10:53,10,Lower Sacramento River,2,9.8,156,0.06,NA,NA,19.2,NA,51,NA,NA,13281,N,4,0,0,0.5,0,0,22.3,0,2,0,24.8,9.2,0,0,0,0,0,0,2.5,11.7,0.2,0,0,11.4,1.7,0,0,0,0,13.1,0,0,57.8,57.8,0,0,4.5,0,4.5,23.6,3.2,1.5,12.9,41.2,0,0,0,0,0,0,0,0,0,1,0
STN,2005,1,6,6/14/2005,707,10:08,10,Lower Sacramento River,2,10.7,165,0.07,NA,NA,19.4,NA,NA,NA,NA,13271,N,4,0,0,9.9,0,0,79.4,0,5,0,94.3,19.9,0,0,0,0,0,0,0,19.9,0,0,5,49.6,19.9,0,0,0,0,74.4,0,0,168.7,168.7,0,0,39.7,9.9,49.6,29.8,14.9,5,54.6,104.2,0,0,0,0,0,0,0,0,0,0,0
