"ID","Process","Mesh","Date","Time","Latitude","Longitude","Genus","Species","Division","LifeStage","Zooppl","AvgTemp","AvgSpc","AvgDO","AvgTurb","AvgDepth"
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Alona","","Cladocera","Adult",0.004467963,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Daphnia","","Cladocera","Adult",0.0290417595,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Monospilus","","Cladocera","Adult",0.0290417595,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Acanthocyclops","vernalis","Copepoda","Adult",0.008935926,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Calanoid","","Copepoda","Copepodid",0.12063500099,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Cyclopoid","","Copepoda","Copepodid",0.20329231649,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Diacyclops","thomasi","Copepoda","Adult",0.0201058335,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Pseudodiaptomus","forbesi","Copepoda","Adult",0.058083519,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Sinocalanus","doerri","Copepoda","Adult",0.022339815,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Copepod","","Copepoda","Nauplii",0.18956928728,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Ostracoda","","Ostracoda","Adult",0.00191484129,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Bdelloid","","Rotifera","Adult",0.00382968257,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Brachionus","","Rotifera","Adult",0.00957420643,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Synchaeta","","Rotifera","Adult",0.01914841286,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Testudinella","","Rotifera","Adult",0.00191484129,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW1S-1","BSA",150,2013-02-19,"9:00:00",38.29741,-121.678596,"Hydrachnidia","","Arthropoda","",0.00191484129,9.5,341.40000915,13.105000015,86.20000076,0.980000019
"2013-02-19-NW2S-2","BSA",150,2013-02-19,"9:42:00",38.292903,-121.679296,"Alona","","Cladocera","Adult",0.00085589541,9.9499998095,355.90000915,13.089999675,41.90000153,1.440000057
"2013-02-19-NW2S-2","BSA",150,2013-02-19,"9:42:00",38.292903,-121.679296,"Bosmina","","Cladocera","Adult",0.00599126785,9.9499998095,355.90000915,13.089999675,41.90000153,1.440000057
"2013-02-19-NW2S-2","BSA",150,2013-02-19,"9:42:00",38.292903,-121.679296,"Chydorus","","Cladocera","Adult",0.00941484947,9.9499998095,355.90000915,13.089999675,41.90000153,1.440000057
"2013-02-19-NW2S-2","BSA",150,2013-02-19,"9:42:00",38.292903,-121.679296,"Daphnia","","Cladocera","Adult",0.01112664029,9.9499998095,355.90000915,13.089999675,41.90000153,1.440000057
"2013-02-19-NW2S-2","BSA",150,2013-02-19,"9:42:00",38.292903,-121.679296,"Ilyocryptus","","Cladocera","Adult",0.00085589541,9.9499998095,355.90000915,13.089999675,41.90000153,1.440000057
"2013-02-19-NW2S-2","BSA",150,2013-02-19,"9:42:00",38.292903,-121.679296,"Acanthocyclops","vernalis","Copepoda","Adult",0.00256768622,9.9499998095,355.90000915,13.089999675,41.90000153,1.440000057
"2013-02-19-NW2S-2","BSA",150,2013-02-19,"9:42:00",38.292903,-121.679296,"Calanoid","","Copepoda","Copepodid",0.03680350248,9.9499998095,355.90000915,13.089999675,41.90000153,1.440000057
