Sample Number,Sample Date,Start Time,Region,General Habitat,Depth m,Tide,Sampling Gear,Waypoint,Latitude Start WGS 84,Longitude Start WGS 84,Wind speed,Wind direction,Sky,Precipitation,Temperature °C,Specific Conductance µS/cm,Salinity PSU,Turbidity FNU,Chlorophyll µg/L,DO concentration mg/L,DO saturation %,pH,fDOM QSU,Zooplankton Sample,Phytoplankton Sample,Larval Fish Sample,Comments
490,4/26/2018,11:01,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDs,38.32705,-121.67291,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,0,1,0,
489,4/26/2018,10:41,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
488,4/26/2018,10:35,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
487,4/26/2018,10:29,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,5-10 -- small waves,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
484,4/26/2018,5:08,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,38.33057,-121.6712,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,0,1,0,
483,4/26/2018,5:25,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,0-1 -- glassy,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
482,4/26/2018,5:19,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDs,38.32705,-121.67291,0-1 -- glassy,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
481,4/26/2018,5:13,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
478,4/25/2018,21:56,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,0,1,0,
477,4/25/2018,21:23,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
476,4/25/2018,21:15,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
475,4/25/2018,21:06,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
472,4/25/2018,15:52,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,38.33057,-121.6712,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
471,4/25/2018,15:35,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
470,4/25/2018,15:26,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,"20+ -- large waves, heavy whitecaps, spray",Northwest,Clear,Dry,,,,,,,,,,1,1,0,
469,4/25/2018,15:22,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Northwest,Clear,Dry,,,,,,,,,,1,1,0,
468,4/20/2018,10:30,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,38.33057,-121.6712,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
467,4/20/2018,10:23,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,38.33057,-121.6712,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
466,4/20/2018,10:06,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
465,4/20/2018,9:50,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
464,4/20/2018,9:44,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
463,4/20/2018,9:36,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
462,4/20/2018,3:37,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,1,1,0,
461,4/20/2018,3:28,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,0-1 -- glassy,N/A,Light fog,Dry,,,,,,,,,,1,1,0,
460,4/20/2018,3:21,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDm,38.33057,-121.6712,0-1 -- glassy,N/A,Light fog,Dry,,,,,,,,,,1,1,0,
457,4/20/2018,4:23,Wildlands,Interior(LHTR/FLUX),,Low slack,Plankton/LF net,WLDs,38.32705,-121.67291,0-1 -- glassy,N/A,Clear,Dry,,,,,,,,,,0,1,0,"No paper data sheet, had to enter data from phyto samples collected"
456,4/20/2018,0:28,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,38.33057,-121.6712,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
455,4/20/2018,0:20,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDm,38.33057,-121.6712,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
454,4/20/2018,0:06,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
453,4/19/2018,23:06,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
452,4/19/2018,22:59,Wildlands,Interior(LHTR/FLUX),,High slack,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
451,4/19/2018,22:50,Wildlands,Interior(LHTR/FLUX),,Ebb,Plankton/LF net,WLDs,38.32705,-121.67291,1-5 -- light ripples,Southwest,Clear,Dry,,,,,,,,,,1,1,0,
450,4/19/2018,16:51,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDm,38.33057,-121.6712,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,1,1,0,
449,4/19/2018,16:40,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDm,38.33057,-121.6712,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,1,1,0,
448,4/19/2018,16:30,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDm,38.33057,-121.6712,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,1,1,0,
445,4/19/2018,15:50,Wildlands,Interior(LHTR/FLUX),,Flood,Plankton/LF net,WLDs,38.32705,-121.67291,5-10 -- small waves,Northeast,Clear,Dry,,,,,,,,,,0,1,0,NO TIDAL STAGED RECORDED
444,8/8/2017,21:02,Wildlands,Interior(LHTR/FLUX),1.68,Flood,Plankton/LF net,WLD07,38.32595,-121.6757,1-5 -- light ripples,Southwest,Clear,Dry,22.99,221.9,,20.48,2.82,6.6,77,7.07,32.98,1,1,0,"#NO SALINITY PROBE
#WLD 07
#BILL'S BOAT"
443,8/8/2017,20:57,Wildlands,Interior(LHTR/FLUX),0.84,Flood,Plankton/LF net,WLD06,38.32592,-121.6757,1-5 -- light ripples,Southwest,Clear,Dry,22.96,222.2,,20.65,2.74,6.62,77.2,7.07,33.05,1,1,0,"#NO SALINITY PROBE
#WLD 06
#BILL'S BOAT"
