"bottle.ID","Date","genus","species","division","notes","NetRadius_cm","TowVolume_L","TotalSampleVolume_mL","Aliquot_mL","CountFactor","NumberIndividualsCounted","NumberPerLiter","BiomassFactor","SpeciesBiomass_ugdwL","file_name","Station"
"NL16",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,644.961488087347,224,24,0.0144711482867165,3,0.0434134448601495,1.20578407514666,0.0523472404596259,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"Ceriodaphnia","spp.","Cladocera","na",15.24,644.961488087347,224,24,0.0144711482867165,1,0.0144711482867165,0.563929070757985,0.00816070120612904,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"ostracod",NA,"Ostracoda","na",15.24,644.961488087347,224,24,0.0144711482867165,1,0.0144711482867165,1.41403629968074,0.0204627289754799,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,644.961488087347,224,24,0.0144711482867165,151,2.18514339129419,2.56120096116788,5.59659135407233,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,644.961488087347,224,24,0.0144711482867165,8,0.115769186293732,0.509798254796792,0.0590189291317892,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,644.961488087347,224,24,0.0144711482867165,10,0.144711482867165,3.19491158082718,0.462340392490979,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"Sinocalanus","doerri","Copepoda","na",15.24,644.961488087347,224,24,0.0144711482867165,1,0.0144711482867165,4.58984140243953,0.0664202755472132,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,644.961488087347,224,24,0.0144711482867165,44,0.636730524615526,0.343808130224458,0.218913131124902,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"Conochiloides","spp.","Rotifera","na",15.24,644.961488087347,224,24,0.0144711482867165,3,0.0434134448601495,0.0159746980536,0.000693516673107501,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"Keratella","cochlearis","Rotifera","na",15.24,644.961488087347,224,24,0.0144711482867165,2,0.028942296573433,0.0034696176768,0.000100418703798371,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"NL16",2017-09-26,"Polyarthra","vulgaris","Rotifera","na",15.24,644.961488087347,224,24,0.0144711482867165,1,0.0144711482867165,0.0096418426412,0.000139528534617991,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","16"
"RB34",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,622.72143677399,251,17,0.0237099688728262,4,0.0948398754913049,0.418178848671899,0.0396600299411401,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"Camptocercus","rectirostris","Cladocera","na",15.24,622.72143677399,251,17,0.0237099688728262,1,0.0237099688728262,8.50173219459885,0.201575805699043,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"Ceriodaphnia","spp.","Cladocera","na",15.24,622.72143677399,251,17,0.0237099688728262,1,0.0237099688728262,0.6717964307798,0.0159282724626648,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,622.72143677399,251,17,0.0237099688728262,1,0.0237099688728262,0.700803506563656,0.0166160293265918,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,622.72143677399,251,17,0.0237099688728262,91,2.15760716742719,2.38081620344988,5.13686610489024,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,622.72143677399,251,17,0.0237099688728262,7,0.165969782109784,0.435475778992022,0.0722758201533941,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,622.72143677399,251,17,0.0237099688728262,72,1.70711775884349,3.07547203728648,5.25019293167832,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,622.72143677399,251,17,0.0237099688728262,20,0.474199377456525,0.431097548038484,0.204426188902883,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"Brachionus","calyciflorus","Rotifera","na",15.24,622.72143677399,251,17,0.0237099688728262,1,0.0237099688728262,0.0963782688,0.00228512575326488,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"Conochilus","sp.","Rotifera","na",15.24,622.72143677399,251,17,0.0237099688728262,1,0.0237099688728262,0.0029234741536,6.9315481182368e-05,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"RB34",2017-09-26,"Bivalvia","veliger","Bivalvia","na",15.24,622.72143677399,251,17,0.0237099688728262,1,0.0237099688728262,0.214201034089028,0.00507869985077805,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","34"
"NL44",2017-09-26,"Alona","guttata","Cladocera","na",15.24,934.082155160986,229,15,0.0163440298932116,2,0.0326880597864232,0.562883921877071,0.0183995832911341,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,934.082155160986,229,15,0.0163440298932116,1,0.0163440298932116,0.663166134634188,0.0108388071286268,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"Ceriodaphnia","spp.","Cladocera","na",15.24,934.082155160986,229,15,0.0163440298932116,1,0.0163440298932116,1.42717286812084,0.0233257560193476,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,934.082155160986,229,15,0.0163440298932116,118,1.92859552739897,1.8715434515219,3.60945032993796,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,934.082155160986,229,15,0.0163440298932116,7,0.114408209252481,1.9870243484487,0.227331897447094,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,934.082155160986,229,15,0.0163440298932116,71,1.16042612241802,2.07459567523985,2.40741501500378,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,934.082155160986,229,15,0.0163440298932116,25,0.40860074733029,0.27713176376768,0.113236245784435,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"Brachionus","calyciflorus","Rotifera","na",15.24,934.082155160986,229,15,0.0163440298932116,2,0.0326880597864232,0.1465792995612,0.00479139290750854,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"Conochilus","spp.","Rotifera","na",15.24,934.082155160986,229,15,0.0163440298932116,4,0.0653761195728464,0.0037587524832,0.000245732651786417,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"Monostyla","quadridentata","Rotifera","na",15.24,934.082155160986,229,15,0.0163440298932116,1,0.0163440298932116,0.033882985125,0.000553784521754244,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL44",2017-09-26,"Bivalvia","veliger","Bivalvia","na",15.24,934.082155160986,229,15,0.0163440298932116,7,0.114408209252481,0.116765213734377,0.0133588990063333,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","44"
"NL56",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,733.921693340774,224,15,0.0203473115304135,2,0.040694623060827,1.12713878154106,0.0458684878520531,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
"NL56",2017-09-26,"Ceriodaphnia","spp.","Cladocera","na",15.24,733.921693340774,224,15,0.0203473115304135,1,0.0203473115304135,0.858776547525888,0.0174737939475222,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
"NL56",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,733.921693340774,224,15,0.0203473115304135,3,0.0610419345912405,0.220341785104495,0.0134500888340657,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
"NL56",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,733.921693340774,224,15,0.0203473115304135,302,6.14488808218487,1.30790920366545,8.03695567818374,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
"NL56",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,733.921693340774,224,15,0.0203473115304135,4,0.081389246121654,0.683908027433297,0.0556627587693435,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
"NL56",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,733.921693340774,224,15,0.0203473115304135,89,1.8109107262068,2.51190221876455,4.54883067114338,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
"NL56",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,733.921693340774,224,15,0.0203473115304135,40,0.81389246121654,0.28876793642322,0.235026046495916,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
