EMP_Micro,EMP_Meso,EMP_Macro,EMP_Lengths,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP_Macro,YBFMP_Meso,YBFMP_Micro,LI_Meso,LI_Micro,DOP_Meso,DOP_Macro,USGS_Meso,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,DOPstart,DOPend,FRPstart,FRPend,USGSstart,USGSend
,,,,,,,,,,,Acari Larvae,,,,,,,,Adult,Hydrachnidia,Order,Arthropoda,Arachnida,Hydrachnidia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Acari NotDetermined,,,,,,,,Adult,Hydrachnidia,Order,Arthropoda,Arachnida,Hydrachnidia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Actinopterygii NotDetermined,Actinopterygii larva,Actinopterygii larva,,,,,,Larva,Actinopterygii,Class,Chordata,Actinopterygii,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Aeshnidae larvae,Aeshnidae Larvae,,,,,,,,Larva,Aeshnidae,Family,Arthropoda,Insecta,Odonata,Aeshnidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Aeshnidae NotDetermined,,,,,,,,Larva,Aeshnidae,Family,Arthropoda,Insecta,Odonata,Aeshnidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Amnicolidae NotDetermined,,,,,,,,Undifferentiated,Amnicolidae,Family,Mollusca,Gastropoda,Littorinimorpha,Amnicolidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Amphipoda Larvae,,,,,,,,Larva,Amphipoda,Order,Arthropoda,Malacostraca,Amphipoda,,,,,1996,,2013,,,,,2017,,2016,,2017,
,,Unidentified_Amphipod,Unidentified Amphipod,,Unidentified Amphipod,,Unidentified_Amphipod,,Amphipod UNID,Amphipod UNID,Amphipoda NotDetermined,,,,Amphipoda NA NA,,Amphipod_UNID,Amphipoda N,Adult,Amphipoda,Order,Arthropoda,Malacostraca,Amphipoda,,,,,1996,,2013,,,,,2017,,2016,,2017,
,,,,,,,,,,,Ancylidae NotDetermined,,,,,,,,Undifferentiated,Ancylidae,Family,Mollusca,Gastropoda,Basommatophora,Ancylidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Andrenidae Adults,,,,,,,,Adult,Andrenidae,Family,Arthropoda,Insecta,Hymenoptera,Anrenidae,,,,,,,,,,,,,,,,
,,,,,,,,,Aphididae adult,Aphididae adult,Aphididae Adults,,,,Aphididae NA NA,,,,Adult,Aphididae,Family,Arthropoda,Insecta,Hemiptera,Aphididae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Aphididae larvae,Aphididae larvae,Aphididae Larvae,,,,,,,,Larva,Aphididae,Family,Arthropoda,Insecta,Hemiptera,Aphididae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Arachnida NotDetermined,,,,,,,,Adult,Arachnida,Class,Arthropoda,Arachnida,,,,,,,,,,,,,,,,,,
,,,,,,,,,Spider,Spider,Araneae NotDetermined,,,,Araneae NA NA,,,,Adult,Araneae,Order,Arthropoda,Arachnida,Araneae,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Araneida Adults,,,,,,,,Adult,Araneae,Order,Arthropoda,Arachnida,Araneae,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Araneida NotDetermined,,,,,,,,Adult,Araneae,Order,Arthropoda,Arachnida,Araneae,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Archaeognatha,,,,,,,,Adult,Archaeognatha,Order,Arthropoda,Insecta,Archaeognatha,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Arrenuridae NotDetermined,,,,,,,,Adult,Arrenuridae,Family,Arthropoda,Arachnida,Trombidiformes,Arrenuridae,,,,,,,,,,,,,,,,
,,,,,,,,,Asellidae,Asellidae,Asellidae NotDetermined,,,,,,,,Adult,Asellidae,Family,Arthropoda,Malacostraca,Isopoda,Asellidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Astacidae,,,,,,,,Adult,Astacidae,Family,Arthropoda,Malacostraca,Decapoda,Astacidae,,,,,,,,,,,,,,,,
,,,,,,,,,Silverside larvae UNID,Silverside larvae UNID,Atherinidae NotDetermined,,,,,,,,Larva,Atherinidae,Family,Chordata,Actinopterygii,,Atherinidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Atherinopsidae NotDetermined,,,,,,,,Larva,Atherinopsidae,Family,Chordata,Actinopterygii,,Atherinopsidae,Atherinopsidae,,,,,,,,,,,,,,,
,,,,,,,,,,,Baetidae Adults,,,,,,,,Adult,Baetidae,Family,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Baetidae,Baetidae Larvae,,,,,,,,Larva,Baetidae,Family,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Baetidae NotDetermined,,,,,,,,Larva,Baetidae,Family,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Belostomatidae,Belostomatidae Adults,,,,,,,,Adult,Belostomatidae,Family,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Belostomatidae Larvae,,,,,,,,Larva,Belostomatidae,Family,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Belostomatidae NotDetermined,,,,,,,,Undifferentiated,Belostomatidae,Family,Arthropoda,Insecta,Hemiptera,Belostomatidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Clam UNID,Clam UNID,Bivalvia NotDetermined,Bivalvia undifferentiated,Bivalvia undifferentiated,Bivalvia,Bivalvia,,,,Undifferentiated,Bivalvia,Class,Mollusca,Bivalvia,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Blattodea Larvae,,,,,,,,Larva,Blattodea,Order,Arthropoda,Insecta,Blattodea,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Bosminidae,,,,,,,,Adult,Bosminidae,Family,Species,Arthropoda,Branchiopoda,Cladocera,Bosminidae,,,,,,,,,,,,,,,
,,,,,,,,,,,Braconidae Adults,,,,,Brachionidae_UNID,,,Adult,Brachionidae,Family,Rotifera,Eurotatoria,Ploima,Brachionidae,,,,,,,,,,,2019,,,,,
,,,,,,,,,,,Branchiobdellidae NotDetermined,,,,,,,,Adult,Branchiobdellidae,Family,Rotifera,Eurotatoria,Ploima,Branchiobdellidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Caenidae,Caenidae Larvae,,,,Caenidae NA NA,,,,Larva,Caenidae,Family,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Caenidae NotDetermined,,,,,,,,Larva,Caenidae,Family,Arthropoda,Insecta,Ephemeroptera,Caenidae,,,,,,,,,,,,,2016,,,
,,,,,,,,UnID calanoid,Calanoid UNID,Calanoid UNID,Calanoida NotDetermined,Calanoida adult,Calanoida adult,,Calanoid NA Adult,Calanoid_UNID_adult,,,Adult,Calanoida,Order,Arthropoda,Copepoda,Calanoida,,,,,,,,,2006,,,2017,,2016,,,
,,,,,,,,,,,Candoniidae NotDetermined,,,,,,,,Adult,Candoniidae,Family,Arthropoda,Ostracoda,Podocopida,Candonidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Capniidae Larvae,,,,,,,,Larva,Capniidae,Family,Arthropoda,Insecta,Plecoptera,Capniidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Capniidae NotDetermined,,,,,,,,Larva,Capniidae,Family,Arthropoda,Insecta,Plecoptera,Capniidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Carabidae Adults,,,,,,,,Adult,Carabidae,Family,Arthropoda,Insecta,Coleoptera,Carabidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Carabidae larvae,Carabidae NotDetermined,,,,,,,,Larva,Carabidae,Family,Arthropoda,Insecta,Coleoptera,Carabidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Sacramento Sucker,Catostomidae NotDetermined,,,,,,,,Juvenile,Catosomus occidentalis,Species,Chordata,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Catosomus occidentalis,,,,,,,,,,,2016,,,
,,,,,,,,,,,Cecidomyiidae Adults,,,,,,,,Adult,Cecidomyidae,Family,Arthropoda,Insecta,Diptera,Cecidomyidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ceratopogonidae Adults,,,,,,,,Adult,Ceratopogonidae,Family,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,,,,,,,,,,,,,
,,,,,,,,,Ceratopogonidae larvae,Ceratopogonidae larvae,Ceratopogonidae Larvae,,,,Ceratopogonidae NA NA,,,Ceratopogoninae N,Larva,Ceratopogonidae,Family,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,,,,,,,,,,2016,,2017,
,,,,,,,,,,,Ceratopogonidae NotDetermined,,,,,,,,Larva,Ceratopogonidae,Family,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ceratopogonidae Pupae,,,,,,,,Pupa,Ceratopogonidae,Family,Arthropoda,Insecta,Diptera,Ceratopogonidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chalcidoidea Adults,,,,,,,,Adult,Chalcidoidea,Family,Arthropoda,Insecta,Hymenoptera,Chalcidoidea,,,,,,,,,,,,,,,,
,,,,,,,,,,Chaoboridgae larvae,Chaoboridae Larvae,,,,,,,,Larva,Chaoboridae,Family,Arthropoda,Insecta,Diptera,Chaoboridae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Chaoboridae NotDetermined,,,,,,,,Larva,Chaoboridae,Family,Arthropoda,Insecta,Diptera,Chaoboridae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Chilopoda NotDetermined,,,,,,,,Adult,Chilopoda,Class,Arthropoda,Chilopoda,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chironomidae Adults,,,,,,,,Adult,Chironomidae,Family,Arthropoda,Insecta,Diptera,Chironomidae,,,,,,,,1995,2006,,,,2016,,2017,
,,,,,,,,Chironomid larvae,Chironomid larvae,Chironomid larvae,Chironomidae Larvae,Chironomidae larva,Chironomidae larva,,Chironomidae NA NA,,,Chironomidae N,Larva,Chironomidae,Family,Arthropoda,Insecta,Diptera,Chironomidae,,,,,,,,1995,2006,,,,2016,,2017,
,,,,,,,,,,,Chironomidae NotDetermined,,,,,,,,Larva,Chironomidae,Family,Arthropoda,Insecta,Diptera,Chironomidae,,,,,,,,1995,2006,,,,2016,,2017,
,,,,,,,,,,,Chironomidae Pupae,,,,,,,,Pupa,Chironomidae,Family,Arthropoda,Insecta,Diptera,Chironomidae,,,,,,,,1995,2006,,,,2016,,2017,
,,,,,,,,,,,Chloroperlidae Larvae,,,,,,,,Larva,Chloroperlidae,Family,Arthropoda,Insecta,Plecoptera,Chloroperlidae,,,,,,,,,,,,,,,,
