"","Date","Station","Turbidity_ntu","Secchi_cm","Temp_C","SpCond_uS","DO_mgL"
"1",2012-03-08,"16",20.2,52,NA,NA,NA
"2",2012-03-08,"34",36.3,30,NA,NA,NA
"3",2012-03-08,"44",28.2,40,NA,NA,NA
"4",2012-03-08,"56",33.2,32,NA,NA,NA
"5",2012-03-08,"62",39.2,32,NA,NA,NA
"6",2012-03-08,"66",33.3,36,NA,NA,NA
"7",2012-03-08,"70",14.7,56,NA,NA,NA
"8",2012-03-08,"74",10.3,76,NA,NA,NA
"9",2012-03-08,"76",7.9,92,NA,NA,NA
"10",2012-03-08,"84",3.3,124,NA,NA,NA
"11",2012-04-03,"16",58.2,28,NA,NA,NA
"12",2012-04-03,"34",41.1,28,NA,NA,NA
"13",2012-04-03,"44",38.1,28,NA,NA,NA
"14",2012-04-03,"56",25.1,38,NA,NA,NA
"15",2012-04-03,"62",21.9,38,NA,NA,NA
"16",2012-04-03,"66",21.4,38,NA,NA,NA
"17",2012-04-03,"70",12,60,NA,NA,NA
"18",2012-04-03,"74",10.7,76,NA,NA,NA
"19",2012-04-03,"76",11,68,NA,NA,NA
"20",2012-04-03,"84",7.6,88,NA,NA,NA
"21",2012-05-08,"16",20.7,52,16.73,138,9.14
"22",2012-05-08,"34",18.4,64,16.82,137,9.31
"23",2012-05-08,"44",21.1,56,17.02,157,9.23
"24",2012-05-08,"56",26,40,17.92,308,8.97
"25",2012-05-08,"62",33.3,30,19.02,598,9.03
"26",2012-05-08,"66",30.1,32,18.88,848,9.28
"27",2012-05-08,"70",14.6,54,19.02,1043,9.06
"28",2012-05-08,"74",13.1,68,20.56,1096.33333333333,8.96
"29",2012-05-08,"76",8,100,20.38,1098,8.49
"30",2012-05-08,"84",7.3,104,21.25,1061,8.56
"31",2012-06-13,"16",16.6,62,20.61,175,8.64
"32",2012-06-13,"34",15.3,64,20.9055555555556,165,8.23
"33",2012-06-13,"44",21.5,44,20.6,172,8.03
"34",2012-06-13,"56",26.9,38,21.287037037037,220.333333333333,8.34333333333333
"35",2012-06-13,"62",32.8,30,21.26,417.5,8.505
"36",2012-06-13,"66",35.8,30,21.49,682.5,9.095
"37",2012-06-13,"70",21,40,22.8185185185185,951.333333333333,9.83666666666667
"38",2012-06-13,"74",17.9,50,23.6111111111111,1048,11.29
"39",2012-06-13,"76",13.4,60,25.055,1107,10.425
"40",2012-06-13,"84",7.1,110,24.285,1114.5,10.66
"41",2012-07-12,"16",10.6,96,22.65,125,8.025
"42",2012-07-12,"34",9.6,96,22.84,125,7.965
"43",2012-07-12,"44",14.5,74,22.6333333333333,135.666666666667,7.91
"44",2012-07-12,"56",21.1,52,22.9833333333333,196.333333333333,8.13
"45",2012-07-12,"62",33.8,36,23.24,424.666666666667,8.5
"46",2012-07-12,"66",32.6,38,23.555,674.5,8.98
"47",2012-07-12,"70",17.9,58,25.4466666666667,957,11.5333333333333
"48",2012-07-12,"74",9.7,80,27.575,1095.5,10.385
"49",2012-07-12,"76",4.7,120,26.6366666666667,1138.66666666667,9.18333333333333
"50",2012-07-12,"84",2.9,92,27.62,1062.5,10.31
"51",2012-08-13,"16",6.5,132,22.605,119.5,8.045
"52",2012-08-13,"34",6.8,116,22.395,125.5,8.025
"53",2012-08-13,"44",11.5,80,22.52,138,8.215
"54",2012-08-13,"56",15.5,64,23.52,285.333333333333,8.67
"55",2012-08-13,"62",25.5,42,24.325,519.5,9.01
"56",2012-08-13,"66",21.9,42,24.85,774,9.55
"57",2012-08-13,"70",13.6,60,25.895,961,8.745
"58",2012-08-13,"74",9.7,78,25.91,1008.5,8.955
"59",2012-08-13,"76",7.6,96,26.675,947,9.055
